iter	Passed	Remaining
456	825	980
457	827	979
458	828	976
459	829	973
460	830	971
461	831	968
462	832	965
463	833	962
464	833	959
465	834	956
466	835	954
467	836	951
468	837	948
469	838	945
470	839	943
471	841	941
472	843	939
473	844	936
474	845	934
475	847	932
476	848	930
477	850	929
478	852	927
479	853	924
480	854	921
481	856	920
482	857	918
483	859	915
484	860	913
485	861	910
486	861	907
487	862	904
488	863	902
489	864	899
490	864	896
491	865	893
492	866	891
493	867	888
494	868	886
495	870	884
496	872	882
497	874	881
498	875	878
499	876	876
500	876	873
501	877	870
502	878	868
503	879	865
504	881	864
505	882	861
506	883	858
507	883	856
508	885	854
509	887	852
510	888	850
511	889	847
512	890	845
513	891	842
514	891	840
515	892	837
516	893	834
517	894	832
518	895	829
519	896	827
520	896	824
521	897	822
522	898	819
523	900	817
524	901	815
525	902	813
526	903	811
527	904	808
528	905	806
529	906	803
530	907	801
531	908	798
532	909	796
533	909	794
534	910	791
535	911	788
536	912	786
537	912	784
538	913	781
539	915	779
540	916	777
541	917	775
542	918	773
543	919	770
544	920	768
545	921	766
546	922	764
547	923	761
548	924	759
549	925	756
550	925	754
551	926	752
552	927	749
553	928	747
554	930	745
555	932	744
556	933	742
557	934	740
558	935	737
559	936	735
560	937	733
561	938	731
562	938	728
563	939	726
564	940	724
565	941	721
566	942	719
567	942	717
568	943	714
569	946	713
570	947	711
571	948	709
572	948	707
573	949	704
574	950	702
575	951	700
576	952	697
577	952	695
578	953	693
579	954	691
580	955	689
581	956	686
582	957	684
583	958	682
584	959	680
585	961	679
586	962	677
587	963	675
588	964	673
589	966	671
590	967	669
591	968	667
592	969	665
593	970	663
594	971	661
595	972	658
596	972	656
597	975	655
598	977	654
599	978	652
600	979	650
601	980	648
602	981	646
603	982	644
604	983	642
605	984	640
606	985	638
607	986	635
608	987	634
609	993	634
610	995	633
611	998	633
612	1001	632
613	1010	635
614	1012	633
615	1013	631
616	1014	629
617	1015	627
618	1016	625
619	1017	623
620	1018	621
621	1020	620
622	1022	618
623	1024	617
624	1026	616
625	1029	615
626	1031	613
627	1032	611
628	1033	609
629	1034	607
630	1036	605
631	1040	605
632	1043	605
633	1045	603
634	1046	601
635	1047	599
636	1049	597
637	1050	596
638	1052	594
639	1053	592
640	1054	590
641	1055	588
642	1055	586
643	1056	584
644	1057	582
645	1058	580
646	1059	578
647	1060	576
648	1061	574
649	1062	572
650	1067	572
651	1069	570
652	1071	569
653	1072	567
654	1074	565
655	1075	564
656	1076	562
657	1077	560
658	1079	558
659	1080	556
660	1082	555
661	1084	553
662	1085	551
663	1087	550
664	1088	548
665	1089	546
666	1090	544
667	1091	542
668	1095	542
669	1097	540
670	1098	538
671	1099	536
672	1100	534
673	1101	532
674	1102	530
675	1103	528
676	1104	526
677	1105	524
678	1106	522
679	1106	520
680	1110	520
681	1111	518
682	1112	516
683	1113	514
684	1115	512
685	1116	510
686	1116	508
687	1117	506
688	1118	505
689	1119	503
690	1120	501
691	1121	499
692	1124	498
693	1125	496
694	1127	494
695	1128	492
696	1130	491
697	1131	489
698	1133	488
699	1134	486
700	1135	484
701	1136	482
702	1137	480
703	1139	478
704	1141	477
705	1142	475
706	1143	473
707	1144	471
708	1145	470
709	1146	468
710	1147	466
711	1148	464
712	1148	462
713	1149	460
714	1150	458
715	1151	456
716	1155	455
717	1156	454
718	1158	452
719	1159	450
720	1161	449
721	1162	447
722	1163	445
723	1164	443
724	1165	442
725	1167	440
726	1170	439
727	1171	437
728	1172	435
729	1173	434
730	1174	432
731	1175	430
732	1176	428
733	1176	426
734	1177	424
735	1178	422
736	1179	420
737	1180	419
738	1181	417
739	1183	415
740	1186	414
741	1186	412
742	1187	410
743	1188	408
744	1189	407
745	1189	405
746	1190	403
747	1191	401
748	1192	399
749	1193	397
750	1193	395
751	1194	393
752	1195	392
753	1196	390
754	1197	388
755	1198	386
756	1200	385
757	1200	383
758	1201	381
759	1202	379
760	1203	377
761	1204	376
762	1205	374
763	1205	372
764	1206	370
765	1207	368
766	1208	366
767	1208	365
768	1209	363
769	1210	361
770	1211	359
771	1212	358
772	1214	356
773	1215	354
774	1216	353
775	1216	351
776	1218	349
777	1219	347
778	1220	346
779	1221	344
780	1221	342
781	1222	340
782	1223	339
783	1224	337
784	1225	335
785	1226	334
786	1229	332
787	1230	331
788	1231	329
789	1232	327
790	1233	325
791	1234	324
792	1235	322
793	1236	320
794	1237	318
795	1237	317
796	1238	315
797	1239	313
798	1240	312
799	1244	311
800	1245	309
801	1246	307
802	1247	305
803	1248	304
804	1249	302
805	1249	300
806	1250	299
807	1251	297
808	1252	295
809	1252	293
810	1253	292
811	1254	290
812	1255	288
813	1256	287
814	1258	285
815	1259	284
816	1260	282
817	1261	280
818	1262	278
819	1262	277
820	1263	275
821	1264	273
822	1265	272
823	1266	270
824	1267	268
825	1268	267
826	1269	265
827	1269	263
828	1273	262
829	1274	260
830	1275	259
831	1276	257
832	1277	256
833	1278	254
834	1279	252
835	1279	251
836	1280	249
837	1281	247
838	1282	246
839	1283	244
840	1284	242
841	1285	241
842	1288	239
843	1289	238
844	1290	236
845	1291	235
846	1292	233
847	1293	231
848	1294	230
849	1295	228
850	1296	226
851	1297	225
852	1298	223
853	1298	222
854	1300	220
855	1302	219
856	1303	217
857	1304	215
858	1304	214
859	1305	212
860	1306	210
861	1307	209
862	1308	207
863	1309	206
864	1310	204
865	1310	202
866	1311	201
867	1312	199
868	1313	197
869	1314	196
870	1316	194
871	1318	193
872	1319	191
873	1320	190
874	1321	188
875	1321	187
876	1322	185
877	1323	183
878	1324	182
879	1325	180
880	1326	179
881	1327	177
882	1327	175
883	1329	174
884	1330	172
885	1332	171
886	1333	169
887	1334	168
888	1335	166
889	1336	165
890	1337	163
891	1338	162
892	1338	160
893	1339	158
894	1340	157
895	1341	155
896	1342	154
897	1342	152
898	1343	150
899	1345	149
900	1346	147
901	1347	146
902	1348	144
903	1349	143
904	1350	141
905	1351	140
906	1352	138
907	1353	137
908	1354	135
909	1355	134
910	1356	132
911	1357	130
912	1358	129
913	1358	127
914	1360	126
915	1362	124
916	1363	123
917	1364	121
918	1365	120
919	1366	118
920	1367	117
921	1368	115
922	1369	114
923	1370	112
924	1371	111
925	1372	109
926	1373	108
927	1374	106
928	1378	105
929	1379	103
930	1380	102
931	1381	100
932	1382	99
933	1383	97
934	1384	96
935	1385	94
936	1386	93
937	1387	91
938	1387	90
939	1388	88
940	1390	87
941	1392	85
942	1393	84
943	1393	82
944	1394	81
945	1395	79
946	1396	78
947	1397	76
948	1398	75
949	1398	73
950	1399	72
951	1400	70
952	1401	69
953	1402	67
954	1403	66
955	1404	64
956	1406	63
957	1407	61
958	1408	60
959	1409	58
960	1409	57
961	1410	55
962	1411	54
963	1412	52
964	1413	51
965	1413	49
966	1414	48
967	1415	46
968	1416	45
969	1417	43
970	1417	42
971	1419	40
972	1420	39
973	1422	37
974	1423	36
975	1424	35
976	1425	33
977	1426	32
978	1427	30
979	1427	29
980	1428	27
981	1429	26
982	1430	24
983	1431	23
984	1432	21
985	1433	20
986	1434	18
987	1436	17
988	1437	15
989	1438	14
990	1439	13
991	1440	11
992	1441	10
993	1442	8
994	1443	7
995	1444	5
996	1445	4
997	1445	2
998	1446	1
999	1447	0
